style,budget,images,psnr,ssim,de,de99,deSal,cov,bytes,np,msTotal
voronoi,16,24,16.392374999999998,0.39858333333333335,12.931916666666666,41.432166666666674,15.989833333333332,0.5662791666666668,93,16,818.0816666666666
voronoi,32,24,17.016375,0.3988458333333334,11.812375000000001,40.76770833333333,15.033999999999999,0.6261291666666666,173,32,819.5375
voronoi,64,24,17.521250000000006,0.3980041666666667,10.845374999999999,39.324,14.149916666666664,0.6733000000000001,332.1666666666667,63.833333333333336,835.3041666666667
voronoi,128,24,18.356958333333335,0.39940000000000003,9.52966666666667,38.191291666666665,13.203208333333334,0.7133166666666669,653,128,867.9425000000001
voronoi,256,24,18.940375000000007,0.40496250000000006,8.683458333333332,36.91858333333332,12.414791666666664,0.7338999999999999,1288.625,255.125,923.0195833333332
voronoi,512,24,19.74745833333333,0.41514999999999996,7.740375000000001,34.8835,11.59475,0.7547708333333333,2555.2916666666665,508.4583333333333,1049.7195833333333
voronoi,1024,24,20.695000000000004,0.4415416666666667,6.803375,32.128874999999994,10.706958333333333,0.7679208333333335,5069.25,1011.25,1289.5175000000002
voronoi,2048,24,21.67179166666666,0.4815708333333333,5.96975,29.803749999999997,9.723541666666666,0.7792374999999999,9981.958333333334,1993.7916666666667,1736.5608333333332
tri-tiled,16,24,16.525458333333333,0.4118374999999999,12.895416666666664,39.78020833333332,15.612458333333334,0.4793916666666667,364,38,835.7925
tri-tiled,32,24,17.01833333333333,0.41450000000000004,11.952374999999998,38.61808333333334,14.910624999999998,0.5630624999999999,634.2916666666666,69.75,874.8570833333334
tri-tiled,64,24,17.71066666666667,0.41962083333333333,10.69525,37.91641666666667,14.047791666666663,0.6155708333333334,1176.5833333333333,133.5,926.8104166666666
tri-tiled,128,24,18.419583333333332,0.42569999999999997,9.649333333333331,36.35416666666667,13.172125000000001,0.6710166666666666,2261.6666666666665,261.0833333333333,1060.5487500000002
tri-tiled,256,30,19.2875,0.42987,8.589033333333333,33.464433333333346,,0.7001833333333333,4427.133333333333,515.8,1407.4300000000003
tri-tiled,512,24,20.135875000000002,0.45350416666666665,7.62225,31.865750000000006,11.379083333333334,0.732675,8724.833333333334,1021.125,2213.902916666666
tri-tiled,1024,28,20.90275,0.4632392857142857,6.8617500000000025,29.963250000000013,,0.7448749999999998,17291.714285714286,2028.75,4154.0939285714285
tri-tiled,2048,24,22.229041666666664,0.5208499999999999,5.792541666666668,26.95025,9.308833333333332,0.7630791666666665,33941.083333333336,3987.1666666666665,9365.229166666668
tri-splat,16,24,15.717999999999998,0.381475,13.747041666666668,45.722125,16.346375000000002,0.61165,141,16,847.2308333333334
tri-splat,32,24,16.329666666666665,0.38024583333333334,12.528875,45.05325,15.443208333333338,0.6864208333333334,268.6666666666667,31.958333333333332,869.4995833333334
tri-splat,64,24,17.017500000000002,0.379275,11.265208333333334,44.348749999999995,14.56266666666667,0.7198875000000001,525,64,937.4058333333334
tri-splat,128,24,17.30175,0.3794666666666667,10.542625,43.82829166666667,14.012458333333335,0.7149708333333332,1035.6666666666667,127.83333333333333,1066.368333333333
tri-splat,256,26,18.087807692307692,0.3794615384615384,9.513038461538462,41.188,,0.7559576923076923,2053.6153846153848,255.07692307692307,1348.4007692307691
tri-splat,512,24,19.023166666666665,0.4052374999999999,8.262750000000002,38.26050000000001,11.967791666666669,0.755125,4076,507.875,1880.4633333333338
tri-splat,768,2,18.107,0.29765,10.443000000000001,37.095,12.269,0.6319,6125,764,2504.05
tri-splat,1024,28,18.938642857142863,0.40716428571428576,8.575321428571428,37.55467857142857,,0.7843000000000003,8103.571428571428,1011.3214285714286,3127.8817857142853
tri-splat,1536,2,19.615000000000002,0.34909999999999997,7.9639999999999995,34.287,10.673,0.75235,12117,1513,4927.795
tri-splat,2048,24,20.370375,0.47429166666666656,6.976666666666667,33.65904166666667,10.774999999999999,0.7935583333333334,15967,1994.25,5723.9625000000015
